:START_ID,:END_ID,:TYPE,captured_at,effective_from,function,role,their_part_no,valid_from,version
LE-GINC,LE-GDE,OWNS,,,,,,2015-01-01,
LE-GINC,LE-GNL,OWNS,,,,,,2018-01-01,
LE-DH,LE-DDE,OWNS,,,,,,,
LE-DH,LE-DNL,OWNS,,,,,,,
LE-DH,ID-LEI-DH,IDENTIFIED_BY,,,,,,,
LE-GINC,ID-LEI-GINC,IDENTIFIED_BY,,,,,,,
OU-DE-SALES,LE-DDE,UNIT_OF,,,,,,,
OU-NL-SALES,LE-DNL,UNIT_OF,,,,,,,
OU-PROC,LE-DH,UNIT_OF,,,,,,,
RL-C-GLOBALCO,LE-GINC,ANCHORED_TO,,,,,,,
RL-S-VENDORCO,LE-VINC,ANCHORED_TO,,,,,,,
RL-V-SAASCO,LE-SAAS,ANCHORED_TO,,,,,,,
AC-10001,LE-GDE,BELONGS_TO,,,,,,,
AC-10001,OU-DE-SALES,HELD_WITH,,,,,,,
AC-10002,LE-GNL,BELONGS_TO,,,,,,,
AC-10002,OU-NL-SALES,HELD_WITH,,,,,,,
AC-20001,LE-VINC,BELONGS_TO,,,,,,,
AC-20001,OU-PROC,HELD_WITH,,,,,,,
ST-MUC,LE-GDE,OPERATED_BY,,,,,,,
AC-10001,ST-MUC,PARTNER_FUNCTION,,,ship_to,,,,
PD-CBL001,LE-VINC,MADE_BY,,,,,,,
PD-CBL001,CLS-26121600,CLASSIFIED_AS,,,,,,,
AC-10001,PD-CBL001,PART_XREF,,,,,GP-778,,
PR-ANNA,LE-GDE,ACTS_FOR,,,,signatory,,,
DOC-MSA-2021,LE-DH,PARTY_TO,,,,,,,
DOC-MSA-2021,LE-GINC,PARTY_TO,,,,,,,
DOC-SCH1,DOC-MSA-2021,FORMS_PART_OF,,,,,,,
DOC-SCH2-V2,DOC-MSA-2021,FORMS_PART_OF,,,,,,,
DOC-SCH2-V3,DOC-MSA-2021,FORMS_PART_OF,,,,,,,
DOC-SCH2-V3,DOC-SCH2-V2,SUPERSEDES,,2024-01-01,,,,,
DOC-DPA-2023,DOC-MSA-2021,FORMS_PART_OF,,,,,,,
DOC-AMD1-2022,DOC-MSA-2021,FORMS_PART_OF,,,,,,,
DOC-AMD1-2022,CL-MSA-14,AMENDS,,2024-06-01,,,,,
DOC-SIDE-2023,DOC-MSA-2021,FORMS_PART_OF,,,,,,,
DOC-LPA-DE,DOC-MSA-2021,ACCEDES_TO,,,,,,,
DOC-LPA-DE,LE-DDE,PARTY_TO,,,,,,,
DOC-LPA-DE,LE-GDE,PARTY_TO,,,,,,,
DOC-LSCHA,DOC-LPA-DE,FORMS_PART_OF,,,,,,,
DOC-LAMD1,DOC-LPA-DE,FORMS_PART_OF,,,,,,,
DOC-LAMD1,CL-MSA-14,VARIES,,,,,,,
DOC-LPA-NL,DOC-MSA-2021,ACCEDES_TO,,,,,,,
DOC-LPA-NL,LE-DNL,PARTY_TO,,,,,,,
DOC-LPA-NL,LE-GNL,PARTY_TO,,,,,,,
TX-PO-4471,DOC-LPA-DE,PLACED_UNDER,,,,,,,
TX-PO-4471,AC-10001,ORDERED_BY,,,,,,,
TX-PO-9120,DOC-LPA-DE,PLACED_UNDER,,,,,,,
TX-PO-9120,AC-10001,ORDERED_BY,,,,,,,
TX-PO-5100,DOC-LPA-NL,PLACED_UNDER,,,,,,,
TX-PO-5100,AC-10002,ORDERED_BY,,,,,,,
DOC-MSA-2021,CL-MSA-14,HAS_CLAUSE,,,,,,,
DOC-MSA-2021,CL-MSA-9,HAS_CLAUSE,,,,,,,
CL-MSA-14,TF-CAP-1,HAS_TERM,,,,,,,
CL-MSA-14,TF-CAP-2,HAS_TERM,,,,,,,
TF-CAP-2,TF-CAP-1,SUPERSEDES,,2024-06-01,,,,,
CL-MSA-9,OB-PAY30,HAS_OBLIGATION,,,,,,,
OB-PAY30,LE-GINC,OBLIGOR,,,,,,,
OB-PAY30,LE-DH,OBLIGEE,,,,,,,
DOC-DIST-2018,LE-DH,PARTY_TO,,,,,,,
DOC-DIST-2018,LE-VINC,PARTY_TO,,,,,,,
DOC-TERR,DOC-DIST-2018,FORMS_PART_OF,,,,,,,
DOC-TERR,CNT-DE,COVERS_TERRITORY,,,,,,,
DOC-TERR,CNT-NL,COVERS_TERRITORY,,,,,,,
DOC-TERR,CNT-GB,COVERS_TERRITORY,,,,,,,
DOC-PLIST-2025,DOC-DIST-2018,FORMS_PART_OF,,,,,,,
DOC-PLIST-2026,DOC-DIST-2018,FORMS_PART_OF,,,,,,,
DOC-PLIST-2026,DOC-PLIST-2025,SUPERSEDES,,2026-01-01,,,,,
DOC-PROG-2026,DOC-DIST-2018,FORMS_PART_OF,,,,,,,
DOC-DIST-2018,DOC-EUT,INCORPORATES,2025-09-14,,,,,,2025-09
DOC-EUT,RL-C-GLOBALCO,FLOWS_DOWN_TO,,,,,,,
DOC-SPA-001,DOC-DIST-2018,FORMS_PART_OF,,,,,,,
DOC-SPA-001,RL-C-GLOBALCO,REFERENCES,,,,,,,
DOC-SPA-001,PD-CBL001,COVERS_PRODUCT,,,,,,,
TX-SD-0007,DOC-SPA-001,CLAIMED_UNDER,,,,,,,
TX-PO-V-3001,DOC-DIST-2018,PLACED_UNDER,,,,,,,
TX-PO-V-3001,AC-20001,ORDERED_BY,,,,,,,
DOC-OF2,DOC-SMSA,GOVERNED_BY,2026-04-02,,,,,,2026-04
DOC-OF2,LE-DH,PARTY_TO,,,,,,,
DOC-OF2,LE-SAAS,PARTY_TO,,,,,,,
DOC-OF1,DOC-SMSA,GOVERNED_BY,,,,,,,
DOC-OF2,DOC-OF1,SUPERSEDES,,2024-09-01,,,,,
DOC-SDPA,DOC-OF2,FORMS_PART_OF,,,,,,,
DOC-SECADD,DOC-OF2,FORMS_PART_OF,,,,,,,
DOC-SECADD,DOC-SMSA,PREVAILS_OVER,,,,,,,
