id:ID,name,:LABEL,layer,appointment,captured_at,category,claim_date,commercial_completeness,country,currency,effective_from,eid,family,flow_down,function,governing_law,is_ours,jurisdiction,modality,mpn,order_date,paper,payment_terms,recorded_at,role,sali_tag,scheme,scope,status,time_limited,type,valid_from,valid_to,value,version
CNT-DE,Germany,Country,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNT-NL,Netherlands,Country,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNT-GB,United Kingdom,Country,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNT-US,United States,Country,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR-EUR,Euro,Currency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUR-USD,US Dollar,Currency,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLS-26121600,Electrical cable (UNSPSC 26121600),ClassificationCode,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE-DH,DistributorCo Holdings Ltd,LegalEntity,1,,,,,,,,,,,,,,true,GB,,,,,,,,,,,,,,,,,
LE-DDE,DistributorCo GmbH,LegalEntity,1,,,,,,,,,,,,,,true,DE,,,,,,,,,,,,,,,,,
LE-DNL,DistributorCo BV,LegalEntity,1,,,,,,,,,,,,,,true,NL,,,,,,,,,,,,,,,,,
OU-DE-SALES,DE sales org,OrgUnit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,sales_org,,,,
OU-NL-SALES,NL sales org,OrgUnit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,sales_org,,,,
OU-PROC,Group procurement,OrgUnit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,procurement,,,,
ID-LEI-DH,LEI LEI-EXAMPLE-0001,Identifier,1,,,,,,,,,,,,,,,,,,,,,,,,LEI,,,,,,,LEI-EXAMPLE-0001,
LE-GINC,GlobalCo Inc,LegalEntity,1,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,
LE-GDE,GlobalCo GmbH,LegalEntity,1,,,,,,,,,,,,,,,DE,,,,,,,,,,,,,,,,,
LE-GNL,GlobalCo BV,LegalEntity,1,,,,,,,,,,,,,,,NL,,,,,,,,,,,,,,,,,
ID-LEI-GINC,LEI LEI-EXAMPLE-0002,Identifier,1,,,,,,,,,,,,,,,,,,,,,,,,LEI,,,,,,,LEI-EXAMPLE-0002,
AC-10001,Account 10001 GlobalCo GmbH,Account,1,,,,,,,EUR,,,,,,,,,,,,,net 45,,,,,,,,,,,,
AC-10002,Account 10002 GlobalCo BV,Account,1,,,,,,,EUR,,,,,,,,,,,,,net 30,,,,,,,,,,,,
ST-MUC,GlobalCo plant Munich,Site,1,,,,,,DE,,,,,,ship_to,,,,,,,,,,,,,,,,,,,,
PR-ANNA,Anna Weber,Person,1,,,,,,,,,,,,,,,,,,,,,,signatory,,,,,,,,,,
PD-CBL001,SKU CBL-001 LV cable,Product,1,,,,,,,,,,,,,,,,,VX-90-CBL,,,,,,,,,,,,,,,
RL-C-GLOBALCO,GlobalCo customer relationship,Relationship,1/2,,,customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-MSA-2021,Global MSA 2021,Master,2,,,,,no,,,,,C1,,,England,,,,,,ours,,,,,,global,active,,,2021-03-01,,,
CL-MSA-14,MSA clause 14 cap on liability,Clause,3,,,,,,,,,msa2021#cl_14,,,,,,,,,,,,,,cap_on_liability,,,,,,,,,
CL-MSA-9,MSA clause 9 payment,Clause,3,,,,,,,,,msa2021#cl_9,,,,,,,,,,,,,,payment_terms,,,,,,,,,
TF-CAP-1,liability cap = 12 months' charges,TermFact,3,,,,,,,,,,,,,,,,,,,,,2026-01-15,,,,,,,,2021-03-01,2024-05-31,,
TF-CAP-2,liability cap = 24 months' charges,TermFact,3,,,,,,,,,,,,,,,,,,,,,2026-01-15,,,,,,,,2024-06-01,,,
OB-PAY30,pay undisputed invoices within 45 days,Obligation,3,,,,,,,,,,,,,,,,duty,,,,,,,,,,,,,,,,
DOC-SCH1,Schedule 1 products,Component,2,,,,,,,,,,C1,,,,,,,,,,,,,,,,active,,,,,,
DOC-SCH2-V2,Schedule 2 pricing v2,Component,2,,,,,,,,,,C1,,,,,,,,,,,,,,,,superseded,,,,2023-12-31,,
DOC-SCH2-V3,Schedule 2 pricing v3,Component,2,,,,,,,,,,C1,,,,,,,,,,,,,,,,active,,,2024-01-01,,,
DOC-DPA-2023,Data processing agreement 2023,Component,2,,,,,,,,,,C1,,,,,,,,,,,,,,,,active,,,,,,
DOC-AMD1-2022,Amendment 1 (2022),Change,2,,,,,,,,2024-06-01,,C1,,,,,,,,,,,,,,,,active,,,,,,
DOC-SIDE-2023,Side letter 2023,Change,2,,,,,,,,,,C1,per_accession,,,,,,,,,,,,,,,active,,,,,,
DOC-LPA-DE,LPA Germany 2021,Participation,2,,,,,,,,,,C1,,,,,,,,,,,,,,,,signed,,,,,,
DOC-LSCHA,Local schedule A delivery sites,Component,2,,,,,,,,,,C1,,,,,,,,,,,,,,,,active,,,,,,
DOC-LAMD1,Local amendment 1 (2023),Change,2,,,,,,,,,,C1,,,,,,,,,,,,,,,,active,,,,,,
DOC-LPA-NL,LPA Netherlands,Participation,2,,,,,,,,,,C1,,,,,,,,,,,,,,,,deemed,,,,,,
TX-PO-4471,PO 4471,Order,4,,,,,,,,,,,,,,,,,,2026-02-11,,,,,,,,,,,,,,
TX-PO-9120,PO 9120,Order,4,,,,,,,,,,,,,,,,,,2026-06-03,,,,,,,,,,,,,,
TX-PO-5100,PO 5100,Order,4,,,,,,,,,,,,,,,,,,2026-04-19,,,,,,,,,,,,,,
LE-VINC,VendorCo Inc,LegalEntity,1,,,,,,,,,,,,,,,US,,,,,,,,,,,,,,,,,
AC-20001,Vendor account 20001,Account,1,,,,,,,USD,,,,,,,,,,,,,net 60,,,,,,,,,,,,
RL-S-VENDORCO,VendorCo supplier relationship,Relationship,1/2,,,supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-DIST-2018,Distribution agreement 2018,Master,2,yes,,,,,,,,,S1,,,,,,,,,theirs,,,,,,,active,,,,,,
DOC-TERR,Territory schedule EMEA,Component,2,,,,,,,,,,S1,,,,,,,,,,,,,,,,active,,,,,,
DOC-PLIST-2025,Vendor price list 2025,Component,2,,,,,,,,,,S1,,,,,,,,,,,,,,,,superseded,,,,2025-12-31,,
DOC-PLIST-2026,Vendor price list 2026,Component,2,,,,,,,,,,S1,,,,,,,,,,,,,,,,notified,,,2026-01-01,,,
DOC-PROG-2026,Programme terms 2026,Component,2,,,,,,,,,,S1,,,,,,,,,,,,,,,,notified,,,,,,
DOC-EUT,Vendor end-user terms,SharedTerms,2,,2025-09-14,,,,,,,,S1,,,,,,,,,,,,,,,,active,,,,,,2025-09
DOC-SPA-001,SPA customer GlobalCo project Falcon,Change,2,,,,,,,,,,S9,,,,,,,,,,,,,,,,active,yes,,2026-01-01,2026-12-31,,
TX-SD-0007,Ship-and-debit claim 0007,Claim,4,,,,2026-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX-PO-V-3001,Our PO 3001 to VendorCo,Order,4,,,,,,,,,,,,,,,,,,2026-02-20,,,,,,,,,,,,,,
LE-SAAS,SaaSCo Ltd,LegalEntity,1,,,,,,,,,,,,,,,GB,,,,,,,,,,,,,,,,,
RL-V-SAASCO,SaaSCo vendor relationship,Relationship,1/2,,,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-SMSA,SaaSCo master (URL) v2026,SharedTerms,2,,2026-04-02,,,,,,,,V1,,,,,,,,,,,,,,,,active,,,,,,2026-04
DOC-OF1,Order form 1 (2023),WorkInstrument,2,,,,,,,,,,V1,,,,,,,,,,,,,,,,superseded,,,,2024-08-31,,
DOC-OF2,Order form 2 (2024 renewal),WorkInstrument,2,,,,,,,,,,V1,,,,,,,,,,,,,,,,active,,,2024-09-01,,,
DOC-SDPA,SaaSCo DPA + SCCs,Component,2,,,,,,,,,,V1,,,,,,,,,,,,,,,,active,,,,,,
DOC-SECADD,Security addendum (signed),Component,2,,,,,,,,,,V1,,,,,,,,,,,,,,,,active,,,,,,
